"Aruba";"1"
"Isle of Man";"1"
"Curaçao";"1"
"Saint Lucia";"1"
"Åland Islands";"1"
"Togo";"1"
"Republic of the Cong";"1"
"Guinea";"1"
"U.S. Virgin Islands";"1"
"Burundi";"1"
"Monaco";"1"
"Mayotte";"1"
"Faroe Islands";"1"
"Mozambique";"2"
"Botswana";"2"
"Liberia";"2"
"Maldives";"2"
"Djibouti";"2"
"New Caledonia";"2"
"Reunion";"2"
"Namibia";"2"
"French Polynesia";"3"
"Honduras";"3"
"Suriname";"4"
"Burkina Faso";"4"
"Martinique";"4"
"Angola";"5"
"Bhutan";"6"
"Seychelles";"6"
"Laos";"7"
"Madagascar";"8"
"Barbados";"8"
"Mongolia";"9"
"Uganda";"9"
"Democratic Republic ";"10"
"Malawi";"10"
"Rwanda";"12"
"Jamaica";"13"
"Liechtenstein";"15"
"Afghanistan";"15"
"Uzbekistan";"16"
"Brunei";"18"
"Panama";"19"
"Iceland";"19"
"Mauritania";"22"
"El Salvador";"25"
"Guyana";"27"
"Bahrain";"28"
"Kuwait";"29"
"Zambia";"31"
"Georgia";"35"
"Tanzania";"35"
"Puerto Rico";"35"
"Costa Rica";"37"
"Dominican Republic";"38"
"Trinidad and Tobago";"38"
"Kyrgyzstan";"40"
"Guadeloupe";"42"
"Cambodia";"43"
"Zimbabwe";"45"
"Moldova";"46"
"Ghana";"49"
"Gibraltar";"51"
"Uruguay";"51"
"Benin";"55"
"Nicaragua";"57"
"Macau";"59"
"Guatemala";"70"
"Cyprus";"71"
"Paraguay";"72"
"Malta";"82"
"Fiji";"86"
"Bolivia";"93"
"Senegal";"95"
"Kenya";"108"
"Qatar";"117"
"Libya";"130"
"Cameroon";"137"
"Estonia";"139"
"Lebanon";"150"
"Mauritius";"162"
"Norway";"170"
"Montenegro";"172"
"Albania";"176"
"Armenia";"188"
"Oman";"193"
"New Zealand";"207"
"United Arab Emirates";"218"
"South Africa";"221"
"Kazakhstan";"234"
"Luxembourg";"237"
"Azerbaijan";"244"
"Denmark";"264"
"Nepal";"267"
"Bosnia and Herzegovi";"278"
"Slovakia";"289"
"Latvia";"289"
"Côte d'Ivoire";"301"
"Macedonia (FYROM)";"324"
"Bulgaria";"343"
"Israel";"346"
"Slovenia";"350"
"Finland";"352"
"Thailand";"380"
"Lithuania";"392"
"Sri Lanka";"408"
"Sudan";"436"
"Belarus";"437"
"Myanmar (Burma)";"452"
"Ethiopia";"499"
"Cuba";"499"
"Czech Republic";"510"
"Taiwan";"567"
"Yemen";"575"
"Sweden";"669"
"Nigeria";"719"
"Austria";"760"
"Hungary";"796"
"Syria";"801"
"Croatia";"847"
"Australia";"857"
"South Korea";"869"
"Hong Kong";"984"
"Philippines";"1054"
"Chile";"1099"
"Peru";"1110"
"Ireland";"1204"
"Iraq";"1212"
"Ecuador";"1223"
"Romania";"1256"
"Argentina";"1293"
"Belgium";"1342"
"Venezuela";"1361"
"Poland";"1383"
"Switzerland";"1433"
"Serbia";"1492"
"Japan";"1616"
"Singapore";"1618"
"Bangladesh";"1896"
"Colombia";"1917"
"Ukraine";"2399"
"Jordan";"2459"
"Mexico";"2505"
"Portugal";"2539"
"Spain";"2663"
"Turkey";"2683"
"Canada";"3074"
"Netherlands";"3121"
"Italy";"3162"
"Saudi Arabia";"3338"
"Vietnam";"3402"
"United Kingdom";"3522"
"Malaysia";"4892"
"Greece";"5128"
"Algeria";"5982"
"Brazil";"6346"
"France";"7360"
"Germany";"7777"
"Tunisia";"9049"
"Egypt";"9358"
"Pakistan";"10216"
"Russia";"10883"
"Morocco";"12670"
"China";"12784"
"N/A";"14067"
"Indonesia";"14909"
"United States";"20549"
"Iran";"45504"
"India";"130735"
